roll,slashing,bludgeoning,piercing,fire,cold,lightning,force,necrotic,radiant,acid,psychic,thunder
30,**Cleaving hack: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Pulverizing crunch: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage. ,**Run through: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Fuming conflagration: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Chilling spasm: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Electrifying agony: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Arcane conflagration: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Doomed: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Shining splendor: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Fuming disruption: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Paranoid delusions: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.,**Cacaphony: **One adjacent ally of the target is also struck by this attack and suffers the equivalent of half the inflicted damage.
31,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-congealing attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.
32,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-congealing attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.
33,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-congealing attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.,**Blood-curdling attack: **The target becomes frightened for the remainder of the encounter.
34,**Nauseating injury: **The target is stunned for 1 rd.,**Nauseating injury: **The target is stunned for 1 rd.,**Nauseating injury: **The target is stunned for 1 rd.,**Smoldering injury: **The target is stunned for 1 rd.,**Tundra’s fist: **The target is stunned for 1 rd.,**Convulsing injury: **The target is stunned for 1 rd.,**Dweomer-struck injury: **The target is stunned for 1 rd.,**Grave injury: **The target is stunned for 1 rd.,**Smoldering injury: **The target is stunned for 1 rd.,**Biting injury: **The target is stunned for 1 rd.,**Lingering injury: **The target is stunned for 1 rd.,**Thunderous injury: **The target is stunned for 1 rd.
35,**Nauseating injury: **The target is stunned for 1 rd.,**Nauseating injury: **The target is stunned for 1 rd.,**Nauseating injury: **The target is stunned for 1 rd.,**Smoldering injury: **The target is stunned for 1 rd.,**Tundra’s fist: **The target is stunned for 1 rd.,**Convulsing injury: **The target is stunned for 1 rd.,**Dweomer-struck injury: **The target is stunned for 1 rd.,**Grave injury: **The target is stunned for 1 rd.,**Smoldering injury: **The target is stunned for 1 rd.,**Biting injury: **The target is stunned for 1 rd.,**Lingering injury: **The target is stunned for 1 rd.,**Thunderous injury: **The target is stunned for 1 rd.
36,**Nauseating injury: **The target is stunned for 1 rd.,**Nauseating injury: **The target is stunned for 1 rd.,**Nauseating injury: **The target is stunned for 1 rd.,**Smoldering injury: **The target is stunned for 1 rd.,**Tundra’s fist: **The target is stunned for 1 rd.,**Convulsing injury: **The target is stunned for 1 rd.,**Dweomer-struck injury: **The target is stunned for 1 rd.,**Grave injury: **The target is stunned for 1 rd.,**Smoldering injury: **The target is stunned for 1 rd.,**Biting injury: **The target is stunned for 1 rd.,**Lingering injury: **The target is stunned for 1 rd.,**Thunderous injury: **The target is stunned for 1 rd.
37,**Flesh-rending strike: **The target is now vulnerable to slashing damage for the remainder of the encounter.,**Pummeled: **The target is now vulnerable to bludgeoning damage for the remainder of the encounter.,**Punctured: **The target is now vulnerable to piercing damage for the remainder of the encounter.,**Seared: **The target is now vulnerable to fire damage for the remainder of the encounter.,**Chilled: **The target is now vulnerable to cold damage for the remainder of the encounter.,**Jolted: **The target is now vulnerable to lightning damage for the remainder of the encounter.,**Wracked: **The target is now vulnerable to force damage for the remainder of the encounter.,**Calamitous loss : **The target is now vulnerable to necrotic damage for the remainder of the encounter.,**Dazzled: **The target is now vulnerable to radiant damage for the remainder of the encounter.,**Corroded: **The target is now vulnerable to acid damage for the remainder of the encounter.,**Touched: **The target is now vulnerable to psychic damage for the remainder of the encounter.,**Inescapable fury: **The target is now vulnerable to thunder damage for the remainder of the encounter.
38,**Flesh-rending strike: **The target is now vulnerable to slashing damage for the remainder of the encounter.,**Pummeled: **The target is now vulnerable to bludgeoning damage for the remainder of the encounter.,**Punctured: **The target is now vulnerable to piercing damage for the remainder of the encounter.,**Seared: **The target is now vulnerable to fire damage for the remainder of the encounter.,**Chilled: **The target is now vulnerable to cold damage for the remainder of the encounter.,**Jolted: **The target is now vulnerable to lightning damage for the remainder of the encounter.,**Wracked: **The target is now vulnerable to force damage for the remainder of the encounter.,**Calamitous loss : **The target is now vulnerable to necrotic damage for the remainder of the encounter.,**Dazzled: **The target is now vulnerable to radiant damage for the remainder of the encounter.,**Corroded: **The target is now vulnerable to acid damage for the remainder of the encounter.,**Touched: **The target is now vulnerable to psychic damage for the remainder of the encounter.,**Inescapable fury: **The target is now vulnerable to thunder damage for the remainder of the encounter.
39,**Flesh-rending strike: **The target is now vulnerable to slashing damage for the remainder of the encounter.,**Pummeled: **The target is now vulnerable to bludgeoning damage for the remainder of the encounter.,**Punctured: **The target is now vulnerable to piercing damage for the remainder of the encounter.,**Seared: **The target is now vulnerable to fire damage for the remainder of the encounter.,**Chilled: **The target is now vulnerable to cold damage for the remainder of the encounter.,**Jolted: **The target is now vulnerable to lightning damage for the remainder of the encounter.,**Wracked: **The target is now vulnerable to force damage for the remainder of the encounter.,**Calamitous loss : **The target is now vulnerable to necrotic damage for the remainder of the encounter.,**Dazzled: **The target is now vulnerable to radiant damage for the remainder of the encounter.,**Corroded: **The target is now vulnerable to acid damage for the remainder of the encounter.,**Touched: **The target is now vulnerable to psychic damage for the remainder of the encounter.,**Inescapable fury: **The target is now vulnerable to thunder damage for the remainder of the encounter.
40,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.,**Monstrous damage: **The target suffers triple damage.
41, **Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.
42, **Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.
43, **Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.,**Torturous impairment: **The target becomes incapacitated for 1 rd.
44,**Shocking violence: **You receive advantage for all melee attacks vs. this opponent for the remainder of the encounter.,**Shocking violence: **You receive advantage for all melee attacks vs. this opponent for the remainder of the encounter.,**Shocking violence: **You receive advantage for all melee attacks vs. this opponent for the remainder of the encounter.,**Scalding violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Snowblind: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Stunning violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Supranatural violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Necromantic violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Magisterial violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Liquefying violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Psionic violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Explosive violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.
45,**Shocking violence: **You receive advantage for all melee attacks vs. this opponent for the remainder of the encounter.,**Shocking violence: **You receive advantage for all melee attacks vs. this opponent for the remainder of the encounter.,**Shocking violence: **You receive advantage for all melee attacks vs. this opponent for the remainder of the encounter.,**Scalding violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Snowblind: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Stunning violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Supranatural violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Necromantic violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Magisterial violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Liquefying violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Psionic violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Explosive violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.
46,**Shocking violence: **You receive advantage for all melee attacks vs. this opponent for the remainder of the encounter.,**Shocking violence: **You receive advantage for all melee attacks vs. this opponent for the remainder of the encounter.,**Shocking violence: **You receive advantage for all melee attacks vs. this opponent for the remainder of the encounter.,**Scalding violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Snowblind: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Stunning violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Supranatural violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Necromantic violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Magisterial violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Liquefying violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Psionic violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.,**Explosive violence: **You receive advantage for all attacks vs. this opponent for the remainder of the encounter.
47,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing effect: **The target becomes exhausted to level 4 of that condition.
48,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing effect: **The target becomes exhausted to level 4 of that condition.
49,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing pain: **The target becomes exhausted to level 4 of that condition.,**Traumatizing effect: **The target becomes exhausted to level 4 of that condition.
50,**Severing strike: **The target’s off-hand is cut off. The target has disadvantage for the remainder of the encounter and 1d10 damage every rd. until healed. ,**Severing strike: **The target’s off-hand is cut off. The target has disadvantage for the remainder of the encounter and 1d10 damage every rd. until healed. ,**Penetrating strike: **The target has disadvantage for the remainder of the encounter and suffers 1d10 damage every rd. until healed.,**Fiery doom: **The target has disadvantage for the remainder of the encounter and suffers 1d10 fire damage every rd. until healed.,**Killing frost: **The target has disadvantage for the remainder of the encounter and suffers 1d10 cold damage every rd. until healed.,**Twitching doom: **The target has disadvantage for the remainder of the encounter and suffers 1d10 lightning damage every rd. until healed.,**Eldritch doom: **The target has disadvantage for the remainder of the encounter and suffers 1d10 force damage every rd. until healed.,**Necrotic doom: **The target has disadvantage for the remainder of the encounter and suffers 1d10 necrotic damage every rd. until healed.,**Heaven’s wrath: **The target has disadvantage for the remainder of the encounter and suffers 1d10 radiant damage every rd. until healed.,**Caustic doom: **The target has disadvantage for the remainder of the encounter and suffers 1d10 acid damage every rd. until healed.,**Psychotic doom: **The target has disadvantage for the remainder of the encounter and suffers 1d10 psychic damage every rd. until healed.,**Noisy doom: **The target has disadvantage for the remainder of the encounter and suffers 1d10 thunder damage every rd. until healed.
51,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Angelic vengeance: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.
52,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Angelic vengeance: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.
53,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Angelic vengeance: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.,**Hellish distress: **The target suffers the effects of a bane spell for the remainder of the encounter.
54,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.
55,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.
56,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.,**Grievous hurt: **Roll twice on this chart and apply both effects to the target.
57,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. Double Damage.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. ,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. ,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. ,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Unnerved: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.
58,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. Double Damage.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. ,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. ,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. ,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Unnerved: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.
59,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. Double Damage.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. ,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. ,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring. ,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Unnerved: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.,**Wicked mutilation: **The target suffers a permanent -1 loss to its CHA due to horrible scarring.
60,**Calamitous blow: **The target must make a successful DC 18 DEX save or it drops whatever it has in hand.,**Calamitous blow: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Stinging blow: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Catastrophic burning: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Deep freeze: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Shocked: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Catastrophic effect: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Terrifying effect: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Divine wrath: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Catastrophic misery: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Catastrophic raving: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.,**Sonic wave: **The target must make a successful DC 10 DEX save or it drops whatever it has in hand.
61,"**Heinous punishment: **The target's arm is broken, dealing triple damage.",**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Celestial punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.
62,"**Heinous punishment: **The target's arm is broken, dealing triple damage.",**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Celestial punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.
63,"**Heinous punishment: **The target's arm is broken, dealing triple damage.",**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Celestial punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.,**Heinous punishment: **The target’s allies all suffer disadvantage for their next attack.
